"model","method","S","diff","alpha","volscl","optmized_value","convergence","C0","beta","q10_rh"
"emiss_CanESM2","emiss_temp-heatflux-co2",3.68716118099831,1.00973203858715,1.5980041287737,0.527307815310319,0.052603659408459,0,281.680914426448,0.0471889913453845,1.25005326990913
"emiss_CESM1-BGC","emiss_temp-heatflux-co2",3.23046349166611,3.15570715225167,0.773284000074085,0.320059227636693,0.0647840851603078,0,280.580668113144,4.21185158399857e-05,2.0432567930957
"emiss_GFDL-ESM2G","emiss_temp-heatflux-co2",2.08423957014546,10.0349772418921,-0.29035748134312,1.79931278882007,0.0682446869954806,0,289.601276749031,0.310905388639073,5.22546436188404
"emiss_MPI-ESM-LR","emiss_temp-heatflux-co2",3.32034542785654,3.48388295614106,0.903651840710701,1.14751455942299,0.0650944921677252,0,288.281592206843,0.201121347841873,1.06606293415336
"emiss_MRI-ESM1","emiss_temp-heatflux-co2",2.36902403809308,3.16341441862048,1.50338725741045,1.32863715820761,0.0276030417926557,0,285.702913737143,0.508678115856328,0.999577731072415
"emiss_NorESM1-ME","emiss_temp-heatflux-co2",2.90218563773835,5.42987552269172,0.928324534358994,0.679154000901999,0.039411963992806,0,278.289798459094,0.0853427405236356,3.82874363093878
"emiss_CanESM2","emiss_temp-heatflux-co2Penalty",3.88226702052057,0.978639866048236,1.86576844570527,1.81227736850639,0.0351623461362591,0,282.34531545915,0.0773819417522023,1.74997859016345
"emiss_CESM1-BGC","emiss_temp-heatflux-co2Penalty",2.39925471958245,8.00104625260901,-0.425670673747769,3.93528289291913,0.0958614914905597,0,280.312249976469,1.84941543500444e-06,1.77865999457033
"emiss_GFDL-ESM2G","emiss_temp-heatflux-co2Penalty",2.03042380832905,12.0053658728004,0.46446698142735,2.12155198179858,0.0579251414592525,0,289.241546108301,0.0669640280990461,1.76277227631891
"emiss_MPI-ESM-LR","emiss_temp-heatflux-co2Penalty",3.65510586375519,2.92955636317167,1.21632749159556,0.697912718201495,0.0457439486889842,0,289.129194740492,0.276749889818724,1.74871671575604
"emiss_MRI-ESM1","emiss_temp-heatflux-co2Penalty",2.0402998936874,4.20960179004558,1.42222878982378,0.27405529559246,0.0318636488803301,0,289.48824049417,0.657412364737394,1.76455719018368
"emiss_NorESM1-ME","emiss_temp-heatflux-co2Penalty",3.39915236946752,3.52918231160643,1.57499751161797,1.88830207437106,0.0334342435860493,0,280.549559771348,0.00101774063264801,1.77135722069329
"emiss_MIROC-ESM","emiss_temp-heatfluxRange-co2",3.31702084904483,1.40311246457663,0.925560197517212,0.674289931369486,0.14527655345927,0,285.286540508037,0.293479580200886,6.50214526040175
"emiss_MIROC-ESM","emiss_temp-heatfluxRange-co2Penalty",3.51551148777984,1.35908816245473,1.2277932261908,0.926781807827654,0.131819081812177,0,283.309529570897,2.30500819851064e-07,1.31257908428892
