"driven","model","sym_method","S","alpha","volscl","optmized_value","convergence","diff","C0","q10_rh","beta"
"emiss","CESM1-BGC","emiss_carbon",2.38394741870382,-0.95887940118482,1.19262751297625,0.342082096893206,0,7.33194539504361,278.36460533183,4.37067923738394,0.166675555555556
"emiss","CESM1-BGC","emiss_carbon",2.4418740678867,-0.798525807463101,1.34097682738161,0.340996867228727,0,6.90917641567683,278.502768147349,9.99097283289111,0.333341111111111
"emiss","CESM1-BGC","emiss_carbon",2.4708871802945,-0.708338884765939,1.18956832744804,0.340693600544756,0,6.78644300146536,278.694088520833,21.9696445712042,0.500006666666667
"emiss","CESM1-BGC","emiss_carbon",2.45922553748416,-0.78318793241244,1.35119377775595,0.337805019310099,0,6.80808523383818,278.87618347292,38.7041860017129,0.666672222222222
"emiss","CESM1-BGC","emiss_carbon",2.46338306678062,-0.809167240104303,1.33251266290533,0.337837983327038,0,6.86399942887971,278.787456835769,40.1135596444666,0.675555555555556
"emiss","CESM1-BGC","emiss_carbon",2.44856209638972,-0.802145238558476,1.37430641387634,0.336460037139008,0,6.7330326617867,279.011926732987,70.2010862804735,0.833337777777778
"emiss","CESM1-BGC","emiss_carbon",3.31455142199305,-0.749506137490265,1.64499045827578,0.391153326752483,0,3.55260736470469,278.239320164205,40.8762171204293,1.16666888888889
"emiss","CESM1-BGC","emiss_carbon",2.72464153768159,-0.919337033822829,1.16285848012962,0.33990906387253,0,5.65900619773709,280.312254067171,157.456931697717,1.33333444444444
"emiss","CESM1-BGC","emiss_carbon",2.41460331284978,-0.936231984462418,1.34174478723721,0.333725915517004,0,6.92890961928876,280.317901759521,507.810484734844,1.5
"emiss","CESM1-BGC","emiss_carbon",2.44082821544537,-0.846138457474618,1.34781484799002,0.335457249672548,0,6.86047691809906,279.453031576381,118.542605067743,1.00000333333333
"emiss","CESM1-BGC","emiss_carbon",3.36264434199846,0.758510655185493,1.00059879778768,0.410291560802846,0,4.39178817670987,279.937842402894,2.23677126716883,1e-05
"emiss","GFDL-ESM2G","emiss_carbon",1.04106099993367,-3.26959088986219,2.40837654104138,0.342418979129931,0,79.9074490111114,290.302734781055,0.498635244732218,0.01
"emiss","GFDL-ESM2G","emiss_carbon",1.01082087722443,-2.96850060592464,2.22490874359432,0.338485913414049,0,177.002041895465,289.488140507542,2.30711291934726,0.166675555555556
"emiss","GFDL-ESM2G","emiss_carbon",1.05991409530489,-2.97603073137339,2.16917502032067,0.335608026566141,0,100.320661292587,288.279346589611,7.49852367743531,0.333341111111111
"emiss","GFDL-ESM2G","emiss_carbon",1.02198600364051,-2.86617355614467,2.09685799348024,0.337576701704334,0,173.640687908334,287.621492094273,28.0836312625723,0.500006666666667
"emiss","GFDL-ESM2G","emiss_carbon",1.05536781031781,-2.81352849113178,2.262244011369,0.33606254003568,0,119.615948491023,287.370329839627,75.7381053416909,0.666672222222222
"emiss","GFDL-ESM2G","emiss_carbon",1.21266979993906,-2.84592403941129,2.49510160213044,0.337134792656403,0,41.5786112420231,287.094529675428,33.9115598758791,0.675555555555556
"emiss","GFDL-ESM2G","emiss_carbon",1.20648200622024,-2.90303801495247,2.4153626643488,0.336083128496936,0,44.3448522461163,286.910813348896,85.5518009220445,0.833337777777778
"emiss","GFDL-ESM2G","emiss_carbon",1.56999114220052,-2.64207593039719,2.32760153553637,0.346930303622961,0,19.9010086822775,288.850691974171,94.021181165503,1.16666888888889
"emiss","GFDL-ESM2G","emiss_carbon",1.76961785658797,-3.02024917218556,2.16179387578221,0.372639838112713,0,14.1336145901513,288.279361986172,57.5957481612721,1.33333444444444
"emiss","GFDL-ESM2G","emiss_carbon",1.06905329651288,-2.88338758286353,2.11479721743783,0.340917722540751,0,173.953492212239,288.15215549478,3453.22369150997,1.5
"emiss","GFDL-ESM2G","emiss_carbon",1.09551201834645,-2.87271128551176,2.29985247572541,0.336464106554339,0,94.1120722796979,287.621522291422,317.128048667068,1.00000333333333
"emiss","GFDL-ESM2G","emiss_carbon",1.08029653971446,-3.11418232831671,2.30431398276284,0.345843155326338,0,74.5627484795482,293.094988902091,0.256462332849195,1e-05
"emiss","MIROC-ESM","emiss_carbon",2.01354991933272,-3.57403619398298,2.65256052913461,0.878283557036143,0,16.2981411300847,276.734524471051,1.35235007426992,0.01
"emiss","MIROC-ESM","emiss_carbon",1.91905573967084,-3.3641728422566,2.59852837749279,0.878280939013842,0,23.9868418266833,278.815386879246,19.7068741260119,0.675555555555556
"emiss","MIROC-ESM","emiss_carbon",2.90049434049089,-2.58000709725341,2.69143523524366,0.907161002753605,0,11.4747892719691,279.012110949676,44.6563116859672,1.34111111111111
"emiss","MPI-ESM-LR","emiss_carbon",2.16328414907513,-1.18472563956339,1.66116338561773,0.223747024986737,0,8.40435462360279,289.754886454441,0.0917299626791176,0.01
"emiss","MPI-ESM-LR","emiss_carbon",2.31615776116985,-0.764824536549662,1.65312835050022,0.213440834129512,0,8.29502509099962,286.102994263898,9.93567291980859,0.675555555555556
"emiss","MRI-ESM1","emiss_carbon",1.60236845460247,0.309567072442616,1.31721919496777,0.305265653500464,0,7.83881711961403,281.681122734306,0.000192103309877007,0.01
"emiss","MRI-ESM1","emiss_carbon",0.842556496058916,-1.95945031429667,1.22563667307314,0.216153301542811,0,63.7095721440177,284.324602501685,3.820672501544,0.675555555555556
"emiss","NorESM1-ME","emiss_carbon",1.42406865259371,-1.64495798899891,1.37786352819195,0.386398028942391,0,27.3919774295578,275.580669759162,2.01248736638065,0.01
"emiss","NorESM1-ME","emiss_carbon",2.18024217053773,-0.942730928771875,1.42862967096105,0.381682859793654,0,10.6187477390245,275.937499266164,45.7032374709124,0.675555555555556
"emiss","NorESM1-ME","emiss_carbon",2.79040632338909,-1.29222443149492,1.08575526870317,0.431825673696537,0,6.58445166679641,278.214189514352,68.2666285802172,1.34111111111111
