"year","variable","ensemble","model","experiment","value","problem"
1966,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.35405669609706,NA
1967,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.4003711938858,NA
1968,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.08704175551732,NA
1969,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.3671282256643,NA
1970,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.952559153238932,NA
1971,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.30202585458755,NA
1972,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.27556520700455,NA
1973,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.25128330787023,NA
1974,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.12884192665418,NA
1975,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.539939443270365,NA
1976,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.896026055018107,NA
1977,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.11067532499631,NA
1978,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.14959957698981,NA
1979,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.30948952833811,NA
1980,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.43786100546519,NA
1981,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.13599914312363,NA
1982,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.0292744835217794,NA
1983,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.0628643234570821,NA
1984,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.55975651741028,NA
1985,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.69510412216187,NA
1986,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.5593569278717,NA
1987,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.57707275946935,NA
1988,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.93598177780708,NA
1989,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.88510417938232,NA
1990,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.44746585687002,NA
1991,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.147932027156154,NA
1992,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.520637432734172,NA
1993,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.73112712303797,NA
1994,"heatflux","r1i1p1","BNU-ESM","esmHistorical",2.05670204758644,NA
1995,"heatflux","r1i1p1","BNU-ESM","esmHistorical",2.01315780480703,NA
1996,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.93829985459646,NA
1997,"heatflux","r1i1p1","BNU-ESM","esmHistorical",2.02598740657171,NA
1998,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.88308757543564,NA
1999,"heatflux","r1i1p1","BNU-ESM","esmHistorical",2.406396428744,NA
2000,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.43204506735007,NA
2001,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.7226893901825,NA
2002,"heatflux","r1i1p1","BNU-ESM","esmHistorical",2.23023840288321,NA
2003,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.03549812237422,NA
2004,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.90445268154144,NA
2005,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.54031862815221,NA
2006,"heatflux","r1i1p1","BNU-ESM","esmHistorical",2.00484841068586,NA
2007,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.76360762864351,NA
